url,type,name,address,rating,number_reviews,last_reviewed,lat,lng
us/cozy-comforts-at-fairdale,Hotel,Cozy Comforts at Fairdale,"Houston, 77057, USA",-1.0,-1,,29.733234,-95.493573
us/lake-austin-double-decker-boat-house,Holiday home,Lake Austin Double Decker Boat House,"Marshall Ford, TX 78734, USA",-1.0,-1,,30.37098,-97.915283
us/island-sunrise-galveston,Holiday home,Island Sunrise,"Galveston, 77551, USA",-1.0,-1,,29.274973,-94.819431
us/by-the-sea-b805-condo,Apartment,By The Sea B805 Condo,"Galveston, 77554, USA",-1.0,-1,,29.260606,-94.837943
us/acl-perfect-for-couples-10-mins-from-acl-austin,Apartment,Perfect for Couples - 5 Min from SoCo & DWTN!! (Home),"1905 Fairlawn Lane, Austin, 78704, USA",-1.0,-1,,30.239712,-97.740112
us/wingate-by-wyndham-lubbock,Hotel,Wingate by Wyndham Lubbock,"5214 2nd Drive, Lubbock, TX 79416, USA",8.5,333,29 July 2019,33.59660672,-101.92680864
us/motel-6-odessa-north,Hotel,Motel 6 Odessa-2nd St,"1831 E. 2Nd St, Odessa, 79761, USA",8.0,117,26 July 2019,31.855781,-102.346502
us/bright-beach-apartment-2-home,Holiday home,Bright Beach Apartment #2 Home,"Galveston, 77550, USA",-1.0,-1,,29.2921,-94.788841
us/aloha-oe-39-yacht-charters,Boat,Aloha Oe' Yacht Charters,"2951 Marina Bay Drive Suite 130-532, League City, TX 77573, USA",-1.0,-1,,29.538721,-95.062973
us/scottish-inns-amp-suites-white-settlement,Motel,Scottish Inns & Suites White Settlement,"8110 West Freeway, White Settlement, TX 76108, USA",7.8,71,27 June 2019,32.73949937,-97.45767805
us/hampton-inn-suites-dallas-arlington-south,Hotel,Hampton Inn & Suites Dallas-Arlington-South,"1100 East I-20, Arlington, TX 76018, USA",8.8,148,28 July 2019,32.67467496,-97.09012985
us/best-western-northwest-inn-houston,Hotel,Best Western Plus Northwest Inn and Suites Houston,"11611 Northwest Freeway, Houston, TX 77092, USA",8.4,222,18 July 2019,29.8233431,-95.47498673
us/mainstay-suites-lancaster-dallas-south,Hotel,MainStay Suites Lancaster Dallas South,"3508 N I35-E, Building B, Lancaster, 75146, USA",8.9,21,30 July 2019,32.633494,-96.821869
us/springhill-suites-by-marriott-dallas-mckinney,Hotel,SpringHill Suites by Marriott Dallas McKinney,"2660 South Central Expressway, McKinney, 75070, USA",-1.0,-1,,33.175847,-96.641503
us/guadalupe-daze-home,Holiday home,Guadalupe Daze Home,"Fourth Crossing, 78132, USA",-1.0,-1,,29.829128,-98.166695
us/seascape-1318-room,Apartment,Seascape 1318 Hotel Room,"Galveston, 77554, USA",-1.0,-1,28 May 2019,29.24222,-94.871558
us/apartment-heart-of-dallas-59-4,Apartment,Apartment-Heart of Dallas (59)4,"3000 Hester Avenue, Dallas, TX 75205, USA",-1.0,-1,,32.82428,-96.785713
us/waterwheel-escape-condo-condo,Apartment,Waterwheel Escape Condo,"New Braunfels, 78130, USA",-1.0,-1,,29.708939,-98.110733
us/4-4bedrm-5mins-from-lacklandafb-seaworld-dwtwn-10mins-away,Holiday home,4# 4BEDRM/5MINS FROM LACKLANDAFB/SEAWORLD/DWTWN 10MINS AWAY,"7030 HALLIE RIDGE, San Antonio, TX 78227, USA",-1.0,-1,6 June 2019,29.4104038,-98.6325611
us/lavish-apt-near-dining-shopping-nightlife,Apartment,"Lavish Apt near Dining, Shopping & Nightlife","Dallas, 75219, USA",-1.0,-1,,32.8068,-96.8156
us/brazos-river-cabin-cabin,Holiday home,Brazos River Cabin,"Waco, 76706, USA",-1.0,-1,30 April 2018,31.502729,-97.049106
us/hampton-inn-dallas-rockwall,Hotel,Hampton Inn Dallas-Rockwall,"1549 Laguna Drive, Rockwall, TX 75087, USA",8.4,87,22 July 2019,32.89786252,-96.47362411
us/travis-heights-bungalow,Holiday home,Travis Heights Bungalow,"207 Dunlap St, Austin, 78701, USA",-1.0,-1,,30.2247816,-97.7649513
